"Date","Price","Open","High","Low","Change %"
"Feb 25, 2011","28.9419","28.9838","28.9953","28.8925","-0.07"
"Feb 28, 2011","28.8730","28.9360","28.9515","28.7817","-0.24"
"Mar 01, 2011","28.7442","28.8688","28.8771","28.6595","-0.45"
"Mar 02, 2011","28.3760","28.7494","28.7971","28.3575","-1.28"
"Mar 03, 2011","28.1675","28.3878","28.4095","28.1292","-0.73"
"Mar 04, 2011","28.1710","28.1768","28.2480","28.1033","0.01"
"Mar 07, 2011","28.1610","28.1642","28.1964","28.1535","-0.04"
"Mar 08, 2011","28.1610","28.1835","28.1610","28.1610","0.00"
"Mar 09, 2011","28.3611","28.5630","28.6615","28.2060","0.71"
"Mar 10, 2011","28.6065","28.3660","28.6395","28.3438","0.87"
"Mar 11, 2011","28.6610","28.6215","28.7810","28.5299","0.19"
"Mar 14, 2011","28.5065","28.6770","28.6988","28.4838","-0.54"
"Mar 15, 2011","28.7080","28.5080","28.9513","28.4888","0.71"
"Mar 16, 2011","28.6720","28.7228","28.7707","28.6140","-0.13"
"Mar 17, 2011","28.6275","28.6868","28.7620","28.5650","-0.16"
"Mar 18, 2011","28.4319","28.6350","28.6895","28.4255","-0.68"
"Mar 21, 2011","28.2360","28.4419","28.4620","28.2495","-0.69"
"Mar 22, 2011","28.2080","28.2533","28.2740","28.1208","-0.10"
"Mar 23, 2011","28.3850","28.2265","28.4010","28.2185","0.63"
"Mar 24, 2011","28.2760","28.3925","28.4569","28.2320","-0.38"
"Mar 25, 2011","28.2760","28.3018","28.3258","28.1750","0.00"
"Mar 28, 2011","28.3360","28.3340","28.4410","28.3041","0.21"
"Mar 29, 2011","28.3460","28.3415","28.4380","28.2906","0.04"
"Mar 30, 2011","28.5220","28.3590","28.6115","28.3320","0.62"
"Mar 31, 2011","28.4300","28.5220","28.5640","28.3295","-0.32"
"Apr 01, 2011","28.2618","28.4385","28.4710","28.2668","-0.59"
"Apr 04, 2011","28.2890","28.2668","28.3358","28.2000","0.10"
"Apr 05, 2011","28.2740","28.3118","28.3890","28.2568","-0.05"
"Apr 06, 2011","28.1460","28.2813","28.2982","28.1508","-0.45"
"Apr 07, 2011","28.2090","28.1610","28.3110","28.1538","0.22"
"Apr 08, 2011","27.9619","28.2153","28.2343","27.9669","-0.88"
"Apr 11, 2011","28.0330","27.9602","28.0770","27.9327","0.25"
"Apr 12, 2011","28.1330","28.0394","28.1875","28.0261","0.36"
"Apr 13, 2011","28.1960","28.1325","28.2430","28.0630","0.22"
"Apr 14, 2011","28.1890","28.2098","28.3208","28.1220","-0.02"
"Apr 15, 2011","28.1312","28.2113","28.2580","28.0865","-0.21"
"Apr 18, 2011","28.3320","28.1506","28.3970","28.1163","0.71"
"Apr 19, 2011","28.2920","28.3840","28.5075","28.2770","-0.14"
"Apr 20, 2011","28.0600","28.3050","28.3180","28.0493","-0.82"
"Apr 21, 2011","27.9885","28.0730","28.0915","27.8340","-0.25"
"Apr 22, 2011","28.0021","28.0028","28.0372","27.9132","0.05"
"Apr 25, 2011","27.8575","28.0070","28.0285","27.8123","-0.52"
"Apr 26, 2011","27.7605","27.8629","27.9775","27.7630","-0.35"
"Apr 27, 2011","27.5870","27.7758","27.7972","27.5703","-0.62"
"Apr 28, 2011","27.4990","27.5833","27.6053","27.4635","-0.32"
"Apr 29, 2011","27.3920","27.5280","27.5595","27.2360","-0.39"
"May 02, 2011","27.4055","27.3850","27.4418","27.3755","0.05"
"May 03, 2011","27.3300","27.4225","27.4405","27.2800","-0.28"
"May 04, 2011","27.3450","27.3475","27.4118","27.1355","0.05"
"May 05, 2011","27.5360","27.3590","27.5785","27.2065","0.70"
"May 06, 2011","27.9023","27.5595","27.9073","27.5340","1.33"
"May 09, 2011","27.8823","27.8723","27.9473","27.8073","-0.07"
"May 10, 2011","27.7050","27.8899","27.9580","27.6944","-0.64"
"May 11, 2011","27.8660","27.7017","27.8808","27.5806","0.58"
"May 12, 2011","27.9200","27.8648","28.0810","27.8200","0.19"
"May 13, 2011","28.1123","27.9430","28.1373","27.7760","0.69"
"May 16, 2011","28.1491","28.0647","28.2387","28.0558","0.13"
"May 17, 2011","28.1323","28.1468","28.2573","28.0716","-0.06"
"May 18, 2011","28.0523","28.1423","28.1473","27.9587","-0.28"
"May 19, 2011","27.9520","28.0523","28.0895","27.9260","-0.36"
"May 20, 2011","28.1223","27.9545","28.1473","27.8480","0.61"
"May 23, 2011","28.4820","28.0742","28.5542","28.1473","1.28"
"May 24, 2011","28.3380","28.4950","28.5465","28.3076","-0.51"
"May 25, 2011","28.4125","28.3567","28.5275","28.3380","0.26"
"May 26, 2011","28.1840","28.4273","28.4460","28.1675","-0.80"
"May 27, 2011","28.2025","28.2254","28.2571","27.9981","0.07"
"May 30, 2011","28.0570","28.0270","28.1010","28.0004","-0.52"
"May 31, 2011","27.9663","28.0715","28.0788","27.9292","-0.32"
"Jun 01, 2011","28.0165","27.9704","28.0370","27.8648","0.18"
"Jun 02, 2011","27.8830","28.0188","28.0700","27.8447","-0.48"
"Jun 03, 2011","27.7679","27.8664","27.9745","27.7626","-0.41"
"Jun 06, 2011","27.8435","27.7873","27.8786","27.7430","0.27"
"Jun 07, 2011","27.6930","27.8558","27.8615","27.6950","-0.54"
"Jun 08, 2011","27.7365","27.7045","27.7775","27.6655","0.16"
"Jun 09, 2011","27.7813","27.7458","27.8249","27.6481","0.16"
